risk_label,method,attacker,id,strength,yaw,pitch,roll,bright,yaw_abs,pitch_abs,roll_abs,angle_max2,angle_max3
normal,blur,gfpgan,L1_C3,8.6,-69,-17.9,-2.5,173.65,69,17.9,2.5,69,69
normal,blur,gfpgan,L1_C4,11.8,-47.4,-14.5,-4,182.59,47.4,14.5,4,47.4,47.4
normal,blur,gfpgan,L1_C5,10.4,-27.5,-16.1,-2.2,171.74,27.5,16.1,2.2,27.5,27.5
normal,blur,gfpgan,L1_C6,13,-13.3,-16.4,-1.8,172.25,13.3,16.4,1.8,16.4,16.4
normal,blur,gfpgan,L1_C7,12.2,-3.5,-16.3,-1.9,169.65,3.5,16.3,1.9,16.3,16.3
normal,blur,gfpgan,L1_C8,15.4,11,-17.7,-1.8,167.03,11,17.7,1.8,17.7,17.7
normal,blur,gfpgan,L1_C9,11.4,25.6,-15.9,-1.7,164.91,25.6,15.9,1.7,25.6,25.6
normal,blur,gfpgan,L1_C15,6.4,-6.6,-31.7,3.6,176.67,6.6,31.7,3.6,31.7,31.7
normal,blur,gfpgan,L1_C16,9.2,-0.1,-32.7,-2.4,177.61,0.1,32.7,2.4,32.7,32.7
normal,blur,gfpgan,L1_C17,7.4,3.5,-29.7,-8.2,168.08,3.5,29.7,8.2,29.7,29.7
normal,blur,gfpgan,L1_C19,10,-36.9,0.4,-10.9,172.55,36.9,0.4,10.9,36.9,36.9
normal,blur,gfpgan,L1_C20,8.4,29,-4.3,7.8,173.4,29,4.3,7.8,29,29
normal,blur,gfpgan,L2_C3,4.8,-75.7,-12.7,-8.2,112.59,75.7,12.7,8.2,75.7,75.7
normal,blur,gfpgan,L2_C4,9.2,-46.5,-14.5,-3.9,122.5,46.5,14.5,3.9,46.5,46.5
normal,blur,gfpgan,L2_C5,9.6,-27.6,-15.6,-3.3,117.35,27.6,15.6,3.3,27.6,27.6
normal,blur,gfpgan,L2_C6,13,-15.8,-14.2,-1.6,121.49,15.8,14.2,1.6,15.8,15.8
normal,blur,gfpgan,L2_C7,14.6,-3.8,-15,-2,114.24,3.8,15,2,15,15
normal,blur,gfpgan,L2_C8,15.2,12.4,-16,-1.8,104.62,12.4,16,1.8,16,16
normal,blur,gfpgan,L2_C9,12.6,24.9,-15.6,-1.7,118.32,24.9,15.6,1.7,24.9,24.9
normal,blur,gfpgan,L2_C15,6.2,-7.6,-30.5,3.5,120.32,7.6,30.5,3.5,30.5,30.5
normal,blur,gfpgan,L2_C16,8.8,0.6,-28.7,-1.6,120.3,0.6,28.7,1.6,28.7,28.7
normal,blur,gfpgan,L2_C17,6.8,4,-27.8,-8.2,120.23,4,27.8,8.2,27.8,27.8
normal,blur,gfpgan,L2_C19,9.4,-33.8,0.2,-11.3,117.52,33.8,0.2,11.3,33.8,33.8
normal,blur,gfpgan,L2_C20,10.2,29.2,-2,7.6,115.48,29.2,2,7.6,29.2,29.2
normal,blur,gfpgan,L3_C3,5.6,-73.4,-14.8,-8,70.94,73.4,14.8,8,73.4,73.4
normal,blur,gfpgan,L3_C4,12.8,-44.8,-13.7,-4.1,89.98,44.8,13.7,4.1,44.8,44.8
normal,blur,gfpgan,L3_C5,11.2,-28.4,-15,-3,74.53,28.4,15,3,28.4,28.4
normal,blur,gfpgan,L3_C6,10.8,-15.2,-16.2,-2.7,81.19,15.2,16.2,2.7,16.2,16.2
normal,blur,gfpgan,L3_C7,13.8,-4,-15.9,-2.1,72.68,4,15.9,2.1,15.9,15.9
normal,blur,gfpgan,L3_C8,15.2,11.6,-17.8,-2.1,71.3,11.6,17.8,2.1,17.8,17.8
normal,blur,gfpgan,L3_C9,6.8,24.5,-13.8,-2.3,79.06,24.5,13.8,2.3,24.5,24.5
normal,blur,gfpgan,L3_C15,6.8,-8.5,-29.6,3.7,77,8.5,29.6,3.7,29.6,29.6
normal,blur,gfpgan,L3_C16,7.4,1.7,-29.8,-1.6,72.59,1.7,29.8,1.6,29.8,29.8
normal,blur,gfpgan,L3_C17,8.2,5.4,-27.4,-8.3,80.69,5.4,27.4,8.3,27.4,27.4
normal,blur,gfpgan,L3_C19,7.8,-37.6,0.9,-10.9,73.1,37.6,0.9,10.9,37.6,37.6
normal,blur,gfpgan,L3_C20,7.8,25.8,-4.4,7.2,89.91,25.8,4.4,7.2,25.8,25.8
normal,blur,gfpgan,L4_C3,6.8,-79.7,-13.2,-11.9,55.7,79.7,13.2,11.9,79.7,79.7
normal,blur,gfpgan,L4_C4,11.4,-45.3,-13.9,-4.5,71.62,45.3,13.9,4.5,45.3,45.3
normal,blur,gfpgan,L4_C5,8,-29.3,-14.2,-3,68.33,29.3,14.2,3,29.3,29.3
normal,blur,gfpgan,L4_C6,9.6,-14.5,-15.4,-2.5,69.08,14.5,15.4,2.5,15.4,15.4
